id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
1,SPY,True,51148801.0,417.7436,417.81,417.4,419.01,416.9,2021-04-28 04:00:00,332653
2,SPY,True,78779400.0,418.8354,420.32,420.06,420.72,416.44,2021-04-29 04:00:00,452193
3,SPY,True,85741191.0,417.6486,417.63,417.3,418.54,416.34,2021-04-30 04:00:00,483015
4,SPY,True,68340826.0,418.2948,419.43,418.2,419.84,417.665,2021-05-03 04:00:00,382841
5,SPY,True,101780093.0,414.475,416.07,415.62,416.6,411.67,2021-05-04 04:00:00,638481
6,SPY,True,60257756.0,416.2568,417.38,415.75,417.63,414.94,2021-05-05 04:00:00,396017
7,SPY,True,74442960.0,416.6705,415.83,419.07,419.21,413.675,2021-05-06 04:00:00,500692
8,SPY,True,67904191.0,421.614,419.89,422.12,422.815,419.16,2021-05-07 04:00:00,431793
9,SPY,True,82023882.0,420.4215,422.5,417.94,422.74,417.81,2021-05-10 04:00:00,498569
10,SPY,True,117104187.0,413.6393,413.1,414.21,415.27,410.06,2021-05-11 04:00:00,802647
11,SPY,True,134557560.0,408.3354,411.23,405.41,412.59,404.0,2021-05-12 04:00:00,844321
12,SPY,True,106574824.0,410.0025,407.07,410.28,412.35,407.02,2021-05-13 04:00:00,722767
13,SPY,True,82431395.0,415.2963,413.21,416.58,417.49,413.18,2021-05-14 04:00:00,451304
14,SPY,True,65231637.0,415.0019,415.39,415.52,416.39,413.36,2021-05-17 04:00:00,446555
15,SPY,True,59988588.0,414.3152,415.8,411.94,416.06,411.77,2021-05-18 04:00:00,410366
16,SPY,True,106399284.0,408.5827,406.92,410.86,411.05,405.33,2021-05-19 04:00:00,740853
17,SPY,True,78120117.0,414.3526,411.8,415.28,416.625,411.67,2021-05-20 04:00:00,483768
18,SPY,True,76761231.0,415.943,416.87,414.94,418.2,414.45,2021-05-21 04:00:00,471827
19,SPY,True,51609310.0,418.8735,417.34,419.17,420.32,417.08,2021-05-24 04:00:00,329683
20,SPY,True,57639401.0,418.8644,420.33,418.24,420.71,417.62,2021-05-25 04:00:00,382277
21,SPY,True,43267919.0,418.8257,418.87,419.07,419.61,417.76,2021-05-26 04:00:00,308691
22,SPY,True,56780925.0,419.7647,420.17,419.29,420.72,419.12,2021-05-27 04:00:00,398523
23,SPY,True,58178233.0,420.3828,420.97,420.04,421.25,419.79,2021-05-28 04:00:00,340040
24,SPY,True,54055887.0,420.2467,422.57,419.67,422.72,419.2,2021-06-01 04:00:00,379475
25,SPY,True,49195766.0,420.1838,420.37,420.33,421.23,419.29,2021-06-02 04:00:00,309854
26,SPY,True,58329399.0,418.7593,417.85,418.77,419.99,416.28,2021-06-03 04:00:00,407471
27,SPY,True,55807692.0,421.672,420.75,422.6,422.92,420.68,2021-06-04 04:00:00,323607
28,SPY,True,51704728.0,421.9857,422.59,422.19,422.78,421.19,2021-06-07 04:00:00,321546
29,SPY,True,46964278.0,422.1817,423.11,422.28,423.21,420.32,2021-06-08 04:00:00,322191
30,SPY,True,48444999.0,422.3273,423.18,421.65,423.26,421.41,2021-06-09 04:00:00,286360
31,SPY,True,51049901.0,423.3297,422.96,423.61,424.63,421.55,2021-06-10 04:00:00,338424
32,SPY,True,43234019.0,423.7817,424.2,424.31,424.43,422.82,2021-06-11 04:00:00,258214
33,SPY,True,42210255.0,424.0982,424.43,425.26,425.37,423.1,2021-06-14 04:00:00,279892
34,SPY,True,51671109.0,424.5186,425.42,424.48,425.46,423.54,2021-06-15 04:00:00,301990
35,SPY,True,79931518.0,422.489,424.63,422.11,424.87,419.92,2021-06-16 04:00:00,649279
36,SPY,True,91117086.0,421.8919,421.67,421.97,423.02,419.32,2021-06-17 04:00:00,571245
37,SPY,True,118528545.0,416.803,417.09,414.92,417.8281,414.7,2021-06-18 04:00:00,718016
38,SPY,True,72920873.0,419.2599,416.8,420.86,421.06,415.93,2021-06-21 04:00:00,453658
39,SPY,True,56977011.0,422.2165,420.85,423.11,424.0,420.08,2021-06-22 04:00:00,351117
40,SPY,True,49240348.0,423.175,423.19,422.6,424.05,422.51,2021-06-23 04:00:00,291116
41,SPY,True,45246597.0,424.8872,424.89,425.1,425.55,424.62,2021-06-24 04:00:00,292709
42,SPY,True,58240132.0,426.2099,425.9,426.61,427.0943,425.55,2021-06-25 04:00:00,330093
43,SPY,True,53354729.0,426.8197,427.17,427.47,427.65,425.89,2021-06-28 04:00:00,296632
44,SPY,True,35873804.0,427.8444,427.88,427.7,428.56,427.13,2021-06-29 04:00:00,249144
45,SPY,True,64517207.0,428.0337,427.21,428.06,428.78,427.18,2021-06-30 04:00:00,316131
46,SPY,True,53657782.0,429.7116,428.87,430.43,430.6,428.8,2021-07-01 04:00:00,316827
47,SPY,True,57852713.0,432.8409,431.67,433.72,434.1,431.33,2021-07-02 04:00:00,313148
48,SPY,True,68729063.0,432.1618,433.78,432.93,434.01,430.01,2021-07-06 04:00:00,399106
49,SPY,True,63714583.0,433.7315,433.66,434.46,434.76,431.51,2021-07-07 04:00:00,390379
50,SPY,True,97804861.0,430.1577,428.78,430.92,431.73,427.52,2021-07-08 04:00:00,648986
51,SPY,True,76378977.0,434.4412,432.53,435.52,435.84,432.31,2021-07-09 04:00:00,394502
52,SPY,True,52449266.0,436.5282,435.43,437.08,437.35,434.97,2021-07-12 04:00:00,345868
53,SPY,True,52790461.0,436.3838,436.24,435.59,437.84,435.31,2021-07-13 04:00:00,365362
54,SPY,True,64286151.0,436.3153,437.4,436.24,437.92,434.91,2021-07-14 04:00:00,357507
55,SPY,True,55212984.0,434.4532,434.81,434.75,435.53,432.72,2021-07-15 04:00:00,421957
56,SPY,True,72752672.0,433.2107,436.01,431.34,436.06,430.92,2021-07-16 04:00:00,457243
57,SPY,True,147932133.0,424.4345,426.19,424.97,431.4089,421.97,2021-07-19 04:00:00,1020165
58,SPY,True,99784841.0,429.6423,425.68,431.06,432.42,424.83,2021-07-20 04:00:00,591627
59,SPY,True,64904513.0,433.4252,432.34,434.55,434.7,431.0111,2021-07-21 04:00:00,346365
60,SPY,True,47963026.0,434.8862,434.74,435.46,435.72,433.69,2021-07-22 04:00:00,315207
61,SPY,True,63950573.0,438.521,437.52,439.94,440.3,436.79,2021-07-23 04:00:00,376771
62,SPY,True,43875088.0,440.195,439.31,441.02,441.03,439.26,2021-07-26 04:00:00,283529
63,SPY,True,67539148.0,438.2311,439.91,439.01,439.94,435.99,2021-07-27 04:00:00,492000
64,SPY,True,50894998.0,438.9868,439.68,438.83,440.3,437.31,2021-07-28 04:00:00,391860
65,SPY,True,47397842.0,440.8157,439.815,440.65,441.8,439.81,2021-07-29 04:00:00,303009
66,SPY,True,68951202.0,438.8069,437.91,438.51,440.06,437.77,2021-07-30 04:00:00,427130
67,SPY,True,58399297.0,438.9469,440.34,437.59,440.93,437.21,2021-08-02 04:00:00,409572
68,SPY,True,57738850.0,439.1748,438.44,441.15,441.28,436.1,2021-08-03 04:00:00,412417
69,SPY,True,46706212.0,439.705,439.78,438.98,441.1243,438.73,2021-08-04 04:00:00,337471
70,SPY,True,38964559.0,440.6863,440.22,441.76,441.85,439.88,2021-08-05 04:00:00,259461
71,SPY,True,45812008.0,442.3052,442.1,442.49,442.94,441.8,2021-08-06 04:00:00,283934
72,SPY,True,41222585.0,442.2061,442.46,442.13,442.795,441.31,2021-08-09 04:00:00,242109
73,SPY,True,42975851.0,442.5943,442.61,442.68,443.44,441.88,2021-08-10 04:00:00,266361
74,SPY,True,43749190.0,443.3916,443.82,443.78,443.882,442.62,2021-08-11 04:00:00,274051
75,SPY,True,38942418.0,444.1853,443.62,445.11,445.2572,442.66,2021-08-12 04:00:00,261155
76,SPY,True,39441451.0,445.5441,445.59,445.92,445.94,445.07,2021-08-13 04:00:00,234209
77,SPY,True,73930864.0,445.2783,444.53,446.97,447.11,442.87,2021-08-16 04:00:00,407360
78,SPY,True,92651433.0,443.5632,444.24,444.04,444.96,440.85,2021-08-17 04:00:00,594093
79,SPY,True,89351931.0,441.7939,442.96,439.18,444.625,438.92,2021-08-18 04:00:00,510458
80,SPY,True,92689386.0,439.099,436.27,439.86,441.14,436.12,2021-08-19 04:00:00,682355
81,SPY,True,71819112.0,442.2624,440.23,443.36,443.71,439.71,2021-08-20 04:00:00,410210
82,SPY,True,54968538.0,446.7581,445.16,447.26,448.23,443.4355,2021-08-23 04:00:00,322046
83,SPY,True,38721714.0,447.9647,447.97,447.97,448.54,447.42,2021-08-24 04:00:00,251170
84,SPY,True,40529711.0,448.7852,448.17,448.91,449.457,447.77,2021-08-25 04:00:00,251660
85,SPY,True,57710772.0,447.238,448.61,446.26,448.86,446.16,2021-08-26 04:00:00,441246
86,SPY,True,77056613.0,449.4451,447.12,450.25,450.65,447.06,2021-08-27 04:00:00,395689
87,SPY,True,48357355.0,452.0586,450.97,452.23,453.07,450.71,2021-08-30 04:00:00,297857
88,SPY,True,58987985.0,451.7938,452.13,451.56,452.49,450.92,2021-08-31 04:00:00,336320
89,SPY,True,48580378.0,452.2969,452.56,451.8,453.11,451.545,2021-09-01 04:00:00,334755
90,SPY,True,40912367.0,452.9232,453.32,453.19,454.05,451.91,2021-09-02 04:00:00,290617
91,SPY,True,47231364.0,452.9032,451.98,453.08,453.63,451.55,2021-09-03 04:00:00,309749
92,SPY,True,51921318.0,451.8342,452.71,451.46,452.81,450.7423,2021-09-07 04:00:00,352112
93,SPY,True,56147907.0,450.5382,450.89,450.91,451.67,448.86,2021-09-08 04:00:00,414394
94,SPY,True,57935207.0,450.2357,450.7,448.98,452.57,448.72,2021-09-09 04:00:00,411806
95,SPY,True,89465874.0,447.6791,451.04,445.44,451.49,445.31,2021-09-10 04:00:00,528437
96,SPY,True,83969944.0,446.0005,448.64,446.58,448.92,444.11,2021-09-13 04:00:00,595851
97,SPY,True,79344873.0,444.9748,448.12,444.17,448.34,443.22,2021-09-14 04:00:00,513360
98,SPY,True,78937824.0,446.2478,444.62,447.88,448.41,443.44,2021-09-15 04:00:00,478421
99,SPY,True,77209185.0,446.5427,447.32,447.17,448.36,444.02,2021-09-16 04:00:00,494053
100,SPY,True,118047787.0,442.6771,444.92,441.4,445.37,441.02,2021-09-17 04:00:00,719238
101,SPY,True,165478034.0,433.6052,434.88,434.04,436.56,428.86,2021-09-20 04:00:00,1162776
