timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,AAPL,True,71238509.0,125.0642,125.57,124.61,125.8,124.55,527853,6.018778589198298,750.0
2021-06-30,42,AAPL,True,63234093.0,136.8187,136.17,136.96,137.41,135.87,419352,5.476051401869158,1574.331915576599
2021-07-31,63,AAPL,True,70440626.0,145.3967,144.38,145.86,146.33,144.11,466325,5.1419169066227886,2426.6359024970993
2021-08-31,85,AAPL,True,85962417.0,152.0192,152.66,151.83,152.8,151.29,534512,4.939735230191661,3275.95728147631
2021-09-30,106,AAPL,True,90816408.0,142.4016,143.66,141.5,144.378,141.28,660868,5.30035335689046,3803.0722210952895
2021-10-31,127,AAPL,True,124953168.0,148.3331,147.215,149.8,149.94,146.4128,863685,5.006675567423231,4776.1499556189
2021-11-30,148,AAPL,True,173958056.0,163.775,159.985,165.3,165.52,159.92,1139625,4.537205081669691,6020.344376927932
2021-12-31,170,AAPL,True,64062261.0,177.8004,178.085,177.57,179.23,177.26,451687,4.223686433519176,7217.226563890458
2022-01-31,190,AAPL,True,115522090.0,173.1568,170.16,174.78,175.0,169.51,933480,4.291108822519739,7853.828680727456
2022-02-28,209,AAPL,True,95056629.0,164.268,163.06,165.12,165.42,162.43,791485,4.542151162790698,8169.751640700982
2022-03-31,232,AAPL,True,103049285.0,175.8765,177.84,174.61,178.03,174.4,716272,4.295286638795028,9389.294658326056
2022-04-30,252,AAPL,True,131747495.0,160.7133,161.84,157.65,166.2,157.25,1032218,4.757373929590866,9227.305440038386
2022-05-31,273,AAPL,True,103718416.0,149.0998,149.07,148.84,150.66,146.84,706652,5.038968019349637,9461.653293341664
2022-06-30,294,AAPL,True,98964467.0,136.476,137.25,136.72,138.37,133.7737,710706,5.485664131070802,9441.193484719648
2022-07-31,314,AAPL,True,101763760.0,162.249,161.24,162.51,163.63,159.5,773742,4.615100609193281,11972.120781171663
2022-08-31,337,AAPL,True,87991091.0,158.3972,160.305,157.22,160.58,157.14,606827,4.770385447144129,12332.406185562792
2022-09-30,358,AAPL,True,124910274.0,140.3818,141.28,138.2,143.1,138.0,947003,5.426917510853835,11590.4689915073
2022-10-31,379,AAPL,True,97932271.0,153.2791,153.155,153.34,154.24,151.92,726843,4.891091691665579,13610.220804325105
2022-11-30,400,AAPL,True,111314880.0,145.1721,141.395,148.03,148.72,140.55,707647,5.066540566101466,13888.913432008903
2022-12-31,421,AAPL,True,76204209.0,128.8013,128.41,129.93,129.95,127.43,592655,5.772338951743246,12940.681093162988
2023-01-31,441,AAPL,True,65874459.0,143.6473,142.7,144.29,144.34,142.28,468170,5.197865409938319,15120.898752655177
2023-02-28,460,AAPL,True,50546998.0,147.7996,147.05,147.41,149.08,146.83,383779,5.087850213689709,16197.859762484577
2023-03-31,483,AAPL,True,68749792.0,164.0421,162.44,164.9,165.0,161.91,574409,4.548211036992116,18869.7142312849
2023-04-30,502,AAPL,True,55275851.0,168.9479,168.49,169.68,169.85,167.8801,527763,4.42008486562942,20166.695638353074
2023-05-31,1050,AAPL,True,65126998.0,169.013,169.5,167.45,170.92,167.16,610052,4.478948939982084,20651.657146642043
