timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,HD,True,3252884.0,319.7417,320.37,318.91,321.51,318.85,49608,2.351760684832711,749.9999999999999
2021-06-30,42,HD,True,3115518.0,318.9203,317.94,318.89,320.285,317.69,56996,2.3519081815045944,1499.9529647863033
2021-07-31,63,HD,True,2381388.0,328.4242,326.85,328.19,330.11,326.34,45578,2.2852615862762424,2293.6970852432405
2021-08-31,85,HD,True,4183144.0,325.9496,327.0,326.18,328.2721,323.62,56671,2.299343920534674,3029.649335033487
2021-09-30,106,HD,True,4296052.0,330.7009,338.24,328.26,338.71,327.628,79881,2.284774264302687,3798.9689457296354
2021-10-31,127,HD,True,3820193.0,372.7022,370.33,371.74,375.15,370.03,54983,2.017539140259321,5052.1651004860005
2021-11-30,148,HD,True,7773528.0,401.9064,403.59,400.61,408.425,400.25,92432,1.8721449789071665,6194.525369628495
2021-12-31,170,HD,True,2386069.0,414.6149,409.99,415.01,416.53,409.885,50568,1.8071853690272524,7167.188721323785
2022-01-31,190,HD,True,4084565.0,365.5265,364.81,366.98,367.41,362.205,80203,2.0437081039838683,7087.714553749072
2022-02-28,209,HD,True,5733347.0,314.1784,312.97,315.83,316.0799,310.475,105523,2.374695247443245,6849.822572103573
2022-03-31,232,HD,True,11044642.0,301.2339,306.21,299.33,307.96,298.89,176468,2.505595830688538,7241.96526773189
2022-04-30,252,HD,True,4878169.0,303.7109,308.15,300.4,311.72,299.71,81202,2.496671105193076,8017.852759251193
2022-05-31,273,HD,True,5966574.0,303.3571,306.6,302.75,307.8659,300.83,86412,2.477291494632535,8830.575642021635
2022-06-30,294,HD,True,4057969.0,273.6466,270.73,274.27,277.04,268.04,75137,2.734531665876691,8749.874422253586
2022-07-31,314,HD,True,3236036.0,299.7468,300.0,300.94,301.435,297.43,63926,2.4921911344454046,10350.711738917835
2022-08-31,337,HD,True,4372269.0,289.5446,292.01,288.42,292.468,288.28,69633,2.6003744539213645,10670.091313014827
2022-09-30,358,HD,True,4786087.0,277.8704,277.82,275.94,281.785,274.76,91596,2.7179821700369646,10958.393998035195
2022-10-31,379,HD,True,4211031.0,296.4621,294.41,296.13,299.28,292.55,69370,2.532671461857968,12510.198646945575
2022-11-30,400,HD,True,15106515.0,322.2056,312.93,323.99,324.19,311.495,92684,2.3148862619216644,14437.161920858734
2022-12-31,421,HD,True,2581645.0,315.3057,317.49,315.86,318.17,313.0218,56760,2.374469701766605,14824.884917196334
2023-01-31,441,HD,True,3526837.0,321.9466,315.99,324.17,324.35,315.095,67044,2.3136008884227413,15964.914657150432
2023-02-28,460,HD,True,3949457.0,296.8237,295.0,296.54,298.6999,294.3135,69959,2.5291697578741483,15354.176180496004
2023-03-31,483,HD,True,5800560.0,292.5423,286.99,295.12,295.55,286.76,92543,2.541339116291678,16030.651764982736
2023-04-30,502,HD,True,4063418.0,298.9528,293.77,300.54,300.82,293.375,62217,2.495508085446197,17075.061268121142
2023-05-31,1006,HD,True,2743399.0,295.4191,294.56,293.08,298.76,292.5,59421,2.5590282516718985,17401.224317764503
