timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,JNJ,True,6516557.0,169.7661,169.52,169.25,171.005,169.17,62346,4.431314623338257,750.0
2021-06-30,42,JNJ,True,6244752.0,164.3831,164.0,164.74,164.97,163.67,64042,4.552628384120432,1480.0147710487443
2021-07-31,63,JNJ,True,5346742.0,172.3222,172.54,172.2,172.98,171.84,58973,4.355400696864112,2297.034985884386
2021-08-31,85,JNJ,True,7102190.0,173.1704,173.49,173.13,174.49,172.48,69564,4.332004851845435,3059.440575529406
2021-09-30,106,JNJ,True,7082284.0,162.6258,164.64,161.5,165.4,161.41,78568,4.643962848297214,3603.9227918211695
2021-10-31,127,JNJ,True,8526806.0,162.2894,162.35,162.88,163.25,160.61,89721,4.604616895874264,4384.717921559332
2021-11-30,148,JNJ,True,14981664.0,156.8831,158.51,155.93,159.0,155.85,122643,4.809850573975502,4947.624419871971
2021-12-31,170,JNJ,True,4409475.0,171.5405,172.53,171.07,172.6785,171.03,47038,4.384170222715848,6178.013272029103
2022-01-31,190,JNJ,True,8054895.0,171.9861,171.5,172.29,172.62,170.82,88109,4.353125544140693,6972.0722899274815
2022-02-28,209,JNJ,True,9373511.0,164.1909,162.87,164.57,165.18,162.3802,95940,4.557331226833567,7409.666473697636
2022-03-31,232,JNJ,True,11490395.0,178.4245,179.59,177.23,180.21,176.98,108485,4.231789200473961,8729.675451986583
2022-04-30,252,JNJ,True,8464103.0,180.9361,182.5,180.46,182.545,180.2,90812,4.15604566108833,9638.772962057772
2022-05-31,273,JNJ,True,16391449.0,178.9951,178.0,179.53,180.17,175.01,106308,4.177574778588537,10339.099578179274
2022-06-30,294,JNJ,True,10777248.0,176.9182,176.86,177.51,178.29,175.03,105061,4.225114078080108,10972.768150852798
2022-07-31,314,JNJ,True,6451431.0,174.092,173.79,174.52,174.85,172.91,73888,4.297501719000687,11537.941511389954
2022-08-31,337,JNJ,True,8741708.0,162.0162,163.23,161.34,163.55,161.27,76918,4.648568240981778,11416.579666786929
2022-09-30,358,JNJ,True,8985190.0,164.0699,165.0,163.36,165.74,163.32,87803,4.591087169441724,12309.516885870291
2022-10-31,379,JNJ,True,7809972.0,173.9744,174.52,173.97,175.16,173.42,81311,4.311088118641145,13859.00252592345
2022-11-30,400,JNJ,True,13288014.0,177.2771,176.37,178.0,178.01,174.78,90231,4.213483146067416,14930.045120505685
2022-12-31,421,JNJ,True,4216656.0,176.4336,177.49,176.65,177.77,175.4,49840,4.245683555052364,15566.811632232188
2023-01-31,441,JNJ,True,11612526.0,162.4084,161.7,163.42,163.43,161.05,143864,4.589401542038918,15150.95305371856
2023-02-28,460,JNJ,True,9062342.0,153.7143,154.98,153.26,155.27,153.04,109281,4.893644786637088,14959.001744051564
2023-03-31,483,JNJ,True,9890047.0,154.5464,153.79,155.0,155.19,153.24,93560,4.838709677419355,15878.835118935094
2023-04-30,502,JNJ,True,6024864.0,163.3801,162.81,163.7,163.76,162.5566,71290,4.581551618814905,17520.09876754629
2023-05-31,1006,JNJ,True,5937170.0,163.7131,165.55,162.87,166.18,162.51,85659,4.604899613188432,18181.267478743215
