timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-09,5,JPM,True,14485590.0,160.3257,157.22,161.24,161.5,157.02,128898,0.465145125279087,75.0
2021-05-16,10,JPM,True,10770414.0,163.5522,162.39,164.01,164.45,161.99,115312,0.4572891896835559,151.28845199702306
2021-05-23,15,JPM,True,10614408.0,162.5179,161.34,162.66,163.223,160.94,101763,0.46108447067502767,225.0431656718235
2021-05-30,20,JPM,True,10434780.0,164.1228,164.68,164.24,164.94,163.26,95963,0.456648806624452,302.22912535313105
2021-06-06,24,JPM,True,8617641.0,165.9313,166.21,166.44,166.67,165.03,89926,0.4506128334534968,381.2774940561077
2021-06-13,29,JPM,True,13788752.0,159.9664,160.43,160.29,161.199,159.06,128221,0.46790192775594236,442.1891944379566
2021-06-20,34,JPM,True,46322684.0,148.3174,149.3,147.92,149.7,147.56,286613,0.5070308274743105,483.0642937255134
2021-06-27,39,JPM,True,15828012.0,153.8207,152.59,154.05,154.495,151.6686,129995,0.486854917234664,578.0831155247116
2021-07-04,44,JPM,True,11585871.0,155.8073,155.95,156.03,156.32,155.12,101672,0.4806767929244376,660.5132003591091
2021-07-11,48,JPM,True,13889396.0,155.0978,153.05,155.77,156.15,152.58,134184,0.48147910380689474,734.4125566874218
2021-07-18,53,JPM,True,14292433.0,152.7157,155.96,151.91,156.28,151.02,138941,0.49371338292409983,791.213722067062
2021-07-25,58,JPM,True,9809740.0,150.9862,151.48,150.64,152.84,150.25,95588,0.4978757302177377,859.5990065972102
2021-08-01,63,JPM,True,9805241.0,152.0335,152.58,151.78,153.67,151.2,98941,0.4941362498352879,941.1042035403915
2021-08-08,68,JPM,True,13328750.0,156.9529,155.19,157.5,157.82,155.11,132521,0.47619047619047616,1051.5707738675164
2021-08-15,73,JPM,True,8980903.0,160.1625,161.79,159.98,162.16,159.57,92491,0.46880860107513445,1143.1288406560336
2021-08-22,78,JPM,True,6936102.0,154.3651,154.35,154.72,154.9,153.16,80533,0.48474663908996896,1180.5437818871205
2021-08-29,83,JPM,True,8780185.0,162.6428,161.75,163.05,163.16,161.26,90757,0.45998160073597055,1319.1033068555778
2021-09-05,88,JPM,True,7961223.0,159.7192,160.39,159.49,160.89,159.145,87428,0.4702489184274876,1365.302277892647
2021-09-12,92,JPM,True,8311551.0,158.1507,160.56,157.36,160.7193,157.22,103500,0.476614133197763,1422.068571378688
2021-09-19,97,JPM,True,25608018.0,157.728,157.38,157.68,159.01,157.0,110674,0.4756468797564688,1499.9604240912015
2021-09-26,102,JPM,True,10102432.0,162.8144,161.44,163.04,163.59,160.82,100569,0.46000981354268894,1625.948424301303
2021-10-03,107,JPM,True,11284976.0,166.3404,164.0,167.13,168.3,163.6,123976,0.4487524681385748,1741.7367526587143
2021-10-10,112,JPM,True,8317005.0,170.3912,170.02,170.22,171.34,169.295,95768,0.4406062742333451,1848.9390297227687
2021-10-17,117,JPM,True,14267441.0,165.8505,165.35,166.61,167.17,164.14,140637,0.4501530520376928,1884.7270105869495
2021-10-24,122,JPM,True,8817895.0,171.4296,170.03,171.78,172.09,169.7,96310,0.4366049598323437,2018.2111270549556
2021-10-31,127,JPM,True,8140070.0,170.2422,171.18,169.89,172.24,169.39,81687,0.44146212254988526,2071.005870155818
