timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-09,5,MA,True,2988452.0,375.7022,377.26,375.4,378.64,373.56,54032,0.19978689397975494,75.0
2021-05-16,10,MA,True,3003975.0,363.5579,363.03,363.91,364.7137,361.4944,48702,0.2060949135775329,147.70444858817262
2021-05-23,15,MA,True,2827404.0,369.1914,369.14,367.6,372.53,367.46,44126,0.20402611534276385,224.202152458059
2021-05-30,20,MA,True,3669807.0,362.1239,363.5,360.58,365.41,360.415,57781,0.20799822508181265,294.9205988393006
2021-06-06,24,MA,True,2329024.0,365.3358,364.31,366.02,366.63,363.7,43533,0.20490683569203869,374.37000828432195
2021-06-13,29,MA,True,2742010.0,365.3719,365.54,365.5,366.85,363.8,46394,0.2051983584131327,448.83814553281155
2021-06-20,34,MA,True,5416713.0,366.5165,362.12,367.42,370.375,362.0,63341,0.2041260682597572,526.1959273096187
2021-06-27,39,MA,True,4044020.0,377.8833,375.45,379.61,379.65,373.325,51889,0.19757119148599878,618.653682341746
2021-07-04,44,MA,True,2823494.0,374.3563,372.69,375.03,375.49,372.15,42339,0.19998400127989763,686.1896169453519
2021-07-11,48,MA,True,2422691.0,372.3539,371.85,372.94,373.48,369.89,46553,0.2011047353461683,757.3655594048463
2021-07-18,53,MA,True,2784133.0,388.1671,393.15,387.12,393.46,385.33,45586,0.19373837569745814,861.162265664193
2021-07-25,58,MA,True,3770265.0,391.208,385.09,393.26,394.5,385.09,67200,0.19071352286019427,949.8209149491128
2021-08-01,63,MA,True,2533294.0,385.569,389.0,385.94,389.0,383.08,44082,0.194330724983158,1007.1412905341518
2021-08-08,68,MA,True,2038730.0,374.0642,371.42,374.53,375.5,371.0,39871,0.20025098122980803,1052.3659831677355
2021-08-15,73,MA,True,2304638.0,362.1883,362.26,362.75,363.4999,360.63,48011,0.2067539627842867,1094.2661746564925
2021-08-22,78,MA,True,4135879.0,355.2069,357.36,354.99,358.32,353.33,82081,0.21127355700160566,1145.8574757858255
2021-08-29,83,MA,True,3698298.0,354.4629,352.46,355.73,356.5,351.6538,78505,0.2108340595395384,1223.246091048457
2021-09-05,88,MA,True,5164360.0,341.4609,339.93,340.23,344.14,338.93,106002,0.22043911471651528,1244.946356948856
2021-09-12,92,MA,True,3437651.0,349.4355,354.928,347.39,355.0,347.02,73084,0.2158956792078068,1346.145739471719
2021-09-19,97,MA,True,5529826.0,342.8878,344.0,343.04,345.9999,340.77,77797,0.21863339552238806,1404.2893706450348
2021-09-26,102,MA,True,3306211.0,357.6429,354.03,358.16,359.925,352.7642,74658,0.20940361849452757,1541.1855206104992
2021-10-03,107,MA,True,5227260.0,356.2288,349.83,360.18,363.18,347.16,88245,0.20822921872397135,1624.8777105581014
2021-10-10,112,MA,True,2383110.0,355.9618,356.0,354.96,360.37,354.21,45471,0.21129141311697094,1676.3287582311723
2021-10-17,117,MA,True,4053607.0,354.5474,349.0,356.0,356.6068,347.74,69656,0.21067415730337077,1756.2402465920027
2021-10-24,122,MA,True,2774368.0,358.1523,356.68,358.67,361.64,354.9,47270,0.20910586332840772,1844.412048441443
2021-10-31,127,MA,True,5843695.0,334.9328,331.24,335.52,338.15,331.11,87555,0.22353361945636624,1800.3662990857135
2021-11-07,132,MA,True,7195698.0,346.8795,342.44,348.79,350.16,341.0,125312,0.21502910060494854,1946.5717735398966
2021-11-14,137,MA,True,4724204.0,361.5885,356.06,363.5,363.84,355.93,89252,0.2063273727647868,2103.6672200514704
2021-11-21,142,MA,True,6957896.0,342.8071,346.0,339.72,346.65,339.13,124093,0.22077004592016952,2041.0462943490663
2021-11-28,146,MA,True,6613178.0,322.999,321.585,324.17,326.87,319.0,116465,0.2313600888422741,2022.621503706396
2021-12-05,151,MA,True,4731890.0,319.7819,320.24,322.11,322.685,314.0,93311,0.2328397131414734,2084.768370172648
2021-12-12,156,MA,True,3405910.0,348.5265,347.0,349.92,350.25,344.83,68204,0.2143347050754458,2339.760945300714
2021-12-19,161,MA,True,5898831.0,348.9988,349.19,349.31,352.79,344.12,81228,0.21470899773839855,2410.682143927161
2021-12-26,165,MA,True,2626991.0,360.6931,357.54,360.58,362.47,355.0,64402,0.20799822508181265,2563.4594413479595
2022-01-02,170,MA,True,1929997.0,360.6525,357.95,359.32,363.38,356.78,43590,0.20872759657130135,2629.5017651149506
2022-01-09,175,MA,True,4543689.0,369.1353,366.39,369.65,371.79,364.11,68975,0.20289463005545788,2780.096647764504
2022-01-16,180,MA,True,4029901.0,371.7855,364.32,372.14,374.78,364.15,76160,0.20153705594668675,2873.823661569275
2022-01-23,184,MA,True,4867051.0,360.0538,362.5,355.08,368.13,354.11,97831,0.21122000675904024,2817.079071720369
2022-01-30,189,MA,True,8813402.0,370.6361,359.05,382.51,382.77,355.38,151575,0.19607330527306477,3109.698985365997
2022-02-06,194,MA,True,6045366.0,381.698,387.57,382.2,388.15,376.4106,103455,0.19623233908948196,3182.178772337675
2022-02-13,199,MA,True,4345551.0,373.129,377.86,369.77,380.9,367.64,79104,0.20282878546123267,3153.687191646525
2022-02-20,204,MA,True,4083825.0,371.0231,374.51,369.95,374.81,369.0,67845,0.20273009866198136,3230.2223721492605
2022-02-27,208,MA,True,3817947.0,368.5449,367.22,369.09,372.59,361.7,82741,0.20320247094204666,3297.7132729735654
2022-03-06,213,MA,True,4671397.0,329.953,336.9,330.76,338.83,324.0,111416,0.22675051396783166,3030.2457183037645
2022-03-13,218,MA,True,2987773.0,326.8807,330.03,324.79,330.97,324.03,61356,0.23091843960713074,3050.5517802874583
2022-03-20,223,MA,True,6790828.0,349.8607,346.696,350.09,352.74,342.49,65927,0.21423062641035165,3363.179047263882
2022-03-27,228,MA,True,2174405.0,347.7564,350.41,349.02,351.54,345.65,42399,0.21488739900292247,3427.899971653118
2022-04-03,233,MA,True,3806911.0,363.8042,359.22,363.97,367.8855,358.17,70726,0.20606093908838638,3649.7313984372972
2022-04-10,238,MA,True,2235107.0,352.7065,347.3,352.27,355.89,345.645,48437,0.21290487410225112,3607.408934053649
2022-04-17,242,MA,True,3359062.0,358.9891,357.18,357.82,362.95,356.87,63903,0.2096025934827567,3739.243519979211
2022-04-24,247,MA,True,2968820.0,354.4862,360.5,351.18,362.095,350.61,65788,0.21356569280710747,3744.8550649664617
2022-05-01,252,MA,True,4741764.0,366.3641,372.05,363.38,377.12,361.75,96724,0.2063955088337278,3949.951402436109
2022-05-08,257,MA,True,3635374.0,346.343,346.25,347.12,351.26,340.78,70142,0.21606360912652683,3848.2047190644016
2022-05-15,262,MA,True,3533466.0,332.3726,327.67,332.8,335.23,326.09,77733,0.22536057692307693,3764.4518624816574
2022-05-22,267,MA,True,3403726.0,334.0528,335.7,336.18,339.61,327.69,65879,0.22309477065857575,3877.6845767099867
2022-05-29,272,MA,True,2659047.0,355.2549,353.39,357.78,357.79,352.11,55155,0.20962602716753315,4201.830828292281
2022-06-05,276,MA,True,2076562.0,358.0489,359.48,357.82,360.95,355.77,53132,0.2096025934827567,4277.300595280742
2022-06-12,281,MA,True,3302379.0,336.9941,341.33,334.75,344.31,334.6,85665,0.22404779686333084,4076.5269528540284
2022-06-19,286,MA,True,6235394.0,310.0452,307.0,310.69,314.135,303.65,89949,0.2413981782484148,3858.5284809028176
2022-06-26,290,MA,True,4318907.0,328.4534,319.22,330.5,330.81,319.22,66611,0.22692889561270801,4179.553294082144
2022-07-03,295,MA,True,2287773.0,315.8919,314.1,318.24,318.94,311.31,53661,0.2356711915535445,4099.511468407569
2022-07-10,299,MA,True,1662060.0,323.0649,322.78,323.06,324.98,319.35,38055,0.23215501764378135,4236.601857037925
2022-07-17,304,MA,True,3387487.0,332.2807,333.63,332.57,335.565,329.76,59902,0.22551643263072435,4436.315791478681
2022-07-24,309,MA,True,2246526.0,344.2932,348.88,343.88,351.09,340.4,46541,0.2180993369780156,4662.185477865378
2022-07-31,314,MA,True,3176867.0,353.2172,354.13,353.79,356.8,349.96,60120,0.21199016365640633,4871.541235936932
2022-08-07,319,MA,True,1848651.0,355.4255,350.4,357.51,357.83,350.4,37264,0.20978434169673577,4997.764089600646
2022-08-14,324,MA,True,2514337.0,353.3674,354.74,354.27,355.45,350.255,45532,0.2117029384367855,5027.470935142572
2022-08-21,329,MA,True,1740744.0,354.8397,356.63,354.28,356.77,353.56,37032,0.2116969628542396,5102.6128458585545
2022-08-28,334,MA,True,1925047.0,335.5234,345.05,331.96,345.64,331.7,42388,0.22593083504036632,4856.143051572783
2022-09-04,339,MA,True,1936812.0,324.3343,329.41,322.56,329.67,320.53,42316,0.23251488095238096,4793.633277248214
2022-09-11,343,MA,True,1816725.0,334.8857,330.54,335.85,337.02,330.15,45533,0.2233139794551139,5066.1388149919785
2022-09-18,348,MA,True,3650857.0,313.6652,312.85,315.13,315.63,309.11,61807,0.2379970171040523,4828.587389514432
2022-09-25,353,MA,True,3245860.0,292.7037,293.13,293.58,294.57,290.24,72083,0.25546699366441855,4573.386969865284
2022-10-02,358,MA,True,3804233.0,286.3975,286.86,284.34,290.755,284.34,65709,0.2637687275796582,4504.446321314445
2022-10-09,363,MA,True,2210877.0,295.0518,296.66,294.97,297.19,292.99,47563,0.2542631454046174,4747.844240691152
2022-10-16,368,MA,True,3106348.0,290.3116,295.86,288.69,298.621,287.84,56430,0.25979424295957604,4721.761209089495
2022-10-23,373,MA,True,3599622.0,300.0272,294.51,302.37,302.7099,293.5,53167,0.24804048020636968,5020.508804573733
2022-10-30,378,MA,True,3644429.0,329.3112,319.31,329.47,331.8,317.82,80277,0.2276383282241175,5545.473379776127
2022-11-06,383,MA,True,3246836.0,317.7545,313.84,318.37,323.125,313.24,64586,0.2355749599522568,5433.643760947357
2022-11-13,388,MA,True,3734766.0,339.3296,339.0,339.29,342.63,336.36,82984,0.22104983937045006,5865.68691036162
2022-11-20,393,MA,True,2737666.0,343.6748,345.66,343.69,348.63,341.33,42301,0.21821990747475922,6016.754647122476
2022-11-27,397,MA,True,944409.0,350.2775,348.96,351.29,351.4,348.075,22930,0.2134988186398702,6224.802845551673
2022-12-04,402,MA,True,2015586.0,359.046,357.45,360.06,362.285,356.06,45773,0.2082986168971838,6455.205848641679
2022-12-11,407,MA,True,2301173.0,349.8977,348.4,348.83,352.77,347.36,40796,0.21500444342516414,6328.872843919561
2022-12-18,412,MA,True,5945487.0,345.7245,344.77,345.84,348.24,343.38,59104,0.21686328938237337,6349.624844024714
2022-12-25,417,MA,True,1914737.0,342.1728,339.02,343.6,344.54,337.69,42671,0.21827706635622815,6383.498428194807
2023-01-01,421,MA,True,1617719.0,346.471,345.33,347.73,347.9,343.6213,35335,0.21568458286601672,6535.226741665251
2023-01-08,425,MA,True,4432804.0,365.0777,357.31,367.67,368.72,355.32,83727,0.20398727119427748,6984.978477865192
2023-01-15,430,MA,True,4261049.0,376.1301,375.06,375.52,377.87,374.31,63552,0.19972305070302515,7209.112432365808
2023-01-22,434,MA,True,3863414.0,373.9767,370.23,376.28,376.62,369.4,61577,0.1993196555756352,7298.70266843472
2023-01-29,439,MA,True,3405833.0,375.7836,376.19,374.03,380.52,373.38,65303,0.2005186749725958,7330.059421374079
2023-02-05,444,MA,True,2739672.0,374.5735,370.8,373.91,378.22,370.49,55217,0.2005830280013907,7402.707719289849
2023-02-12,449,MA,True,2270717.0,366.1156,369.64,366.83,370.25,362.92,48421,0.20445437941280703,7337.537168481973
2023-02-19,454,MA,True,2719130.0,361.6475,364.06,361.13,366.7,359.8,52916,0.20768144435521835,7298.5226062587435
2023-02-26,458,MA,True,2016148.0,352.2474,350.82,353.12,354.0,349.59,44331,0.21239238785681921,7211.638614133657
2023-03-05,463,MA,True,2174952.0,360.298,358.12,361.5,361.69,357.09,38714,0.2074688796680498,7457.780241870517
2023-03-12,468,MA,True,3176505.0,347.6948,352.41,347.11,353.05,345.23,66163,0.21606983377027456,7235.913139019848
2023-03-19,473,MA,True,8426918.0,349.5883,350.25,349.66,351.94,346.86,70378,0.214494079963393,7364.070865690071
2023-03-26,478,MA,True,2971590.0,350.6153,350.45,351.63,352.42,346.31,48931,0.2132923811961437,7480.5603686512595
2023-04-02,483,MA,True,3376796.0,362.6259,361.13,363.41,363.65,360.38,59006,0.2063784705979472,7806.167544212822
2023-04-09,487,MA,True,2357712.0,359.8889,361.21,361.47,362.035,355.97,47571,0.20748609843140509,7839.4956996412
2023-04-16,492,MA,True,2254716.0,371.4743,370.0,372.43,373.39,369.11,56185,0.2013801251241844,8152.194188777416
2023-04-23,497,MA,True,3537820.0,375.1452,375.72,375.24,377.425,373.26,51462,0.19987208186760472,8288.702836497696
2023-04-30,502,MA,True,3065278.0,379.2767,372.53,380.03,381.93,371.51,59539,0.19735284056521854,8469.509484474522
