timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,NFLX,True,2911297.0,506.3149,504.4,502.81,511.76,502.53,86465,1.491617111831507,750.0
2021-06-30,42,NFLX,True,2773445.0,529.8674,534.0551,528.21,534.38,526.82,75860,1.4198898165502356,1537.8870746405203
2021-07-31,63,NFLX,True,2537107.0,516.9862,512.69,517.57,519.79,510.9642,66443,1.4490793515852927,2256.9086409225383
2021-08-31,85,NFLX,True,2411886.0,566.7351,566.12,569.19,569.48,561.611,69955,1.317661940652506,3232.002104694437
2021-09-30,106,NFLX,True,6717011.0,613.2484,608.05,610.34,619.0,608.05,179335,1.228823278828194,4215.662018972931
2021-10-31,127,NFLX,True,3825279.0,684.3728,673.06,690.31,690.9699,671.24,111320,1.086468398255856,5518.0205267837655
2021-11-30,148,NFLX,True,5488919.0,649.1245,668.1975,641.9,675.38,640.01,120646,1.168406293815236,5881.053260335934
2021-12-31,170,NFLX,True,1995918.0,605.2859,610.01,602.44,614.075,602.05,63554,1.2449372551623397,6269.522863618602
2022-01-31,190,NFLX,True,20034702.0,417.6651,401.97,427.14,427.7,398.2,405080,1.7558645877229948,5195.196195415393
2022-02-28,209,NFLX,True,5035046.0,391.9541,387.33,394.52,397.75,382.13,126831,1.9010443070059821,5548.447354533129
2022-03-31,232,NFLX,True,4134720.0,376.6021,383.59,374.59,384.0,373.61,103603,2.002189060038976,6018.155973168825
2022-04-30,252,NFLX,True,16387969.0,196.8656,198.68,190.36,204.71,190.0,249736,3.939903341038033,3808.3202195798544
2022-05-31,273,NFLX,True,11398460.0,196.5705,196.18,197.44,199.95,190.8,143862,3.798622366288493,4699.961883556663
2022-06-30,294,NFLX,True,7894710.0,174.8005,177.07,174.87,179.45,170.3,106995,4.2889003259564245,4912.694158111597
2022-07-31,314,NFLX,True,9064937.0,226.3575,223.29,224.9,230.75,222.4,138975,3.3348154735437974,7068.207332071243
2022-08-31,337,NFLX,True,8615906.0,227.669,227.0,223.56,233.8787,223.43,126827,3.3548040794417604,7776.093513374154
2022-09-30,358,NFLX,True,11848607.0,238.0581,237.0,235.44,242.44,233.26,158213,3.1855249745158,8939.31587398824
2022-10-31,379,NFLX,True,7505133.0,292.1372,295.13,291.88,297.6199,289.5,116719,2.5695491297793613,11832.260946736695
2022-11-30,400,NFLX,True,16070120.0,298.5126,281.37,305.53,308.26,280.41,226556,2.454750760972736,13135.606026642668
2022-12-31,421,NFLX,True,7566892.0,290.2027,285.53,294.88,295.01,283.22,141698,2.543407487791644,13427.732154408373
2023-01-31,441,NFLX,True,5660738.0,352.8294,349.98,353.86,355.95,348.71,104152,2.1194822811281298,16863.460730327413
2023-02-28,460,NFLX,True,3675300.0,323.7689,323.7,322.13,327.62,321.17,78816,2.3282525688386677,16101.344048664356
2023-03-31,483,NFLX,True,5610161.0,342.5335,340.05,345.48,345.84,337.2001,108308,2.1708926710663423,18018.470313018228
2023-04-30,502,NFLX,True,4228374.0,328.7421,325.24,329.93,330.8077,324.0,82981,2.2732094686751734,17957.461822317076
2023-05-31,1006,NFLX,True,5064057.0,321.039,317.55,319.3,324.62,315.85,101597,2.3488881929220167,18128.89115832402
