timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,PG,True,10719747.0,135.1709,135.15,134.85,136.13,134.64,90960,5.561735261401558,750.0
2021-06-30,42,PG,True,5884207.0,134.7856,134.58,134.93,135.29,134.29,53822,5.558437708441414,1500.4449388209123
2021-07-31,63,PG,True,14394251.0,142.8346,142.0,142.23,144.54,141.55,123949,5.2731491246572455,2331.6222015007656
2021-08-31,85,PG,True,9642489.0,142.4965,143.04,142.39,143.53,142.05,73182,5.2672238218976055,3084.245133035886
2021-09-30,106,PG,True,7009178.0,140.5499,142.64,139.8,142.74,139.53,75327,5.364806866952789,3778.144319112416
2021-10-31,127,PG,True,6239699.0,142.954,142.16,142.99,143.48,142.02,58265,5.245122036506049,4614.355194491304
2021-11-30,148,PG,True,11696448.0,145.6266,147.81,144.58,148.54,144.12,103429,5.187439479872735,5415.665249454876
2021-12-31,170,PG,True,5327027.0,163.2803,162.86,163.58,163.73,162.46,56792,4.584912581000122,6877.3656211497355
2022-01-31,190,PG,True,8550094.0,160.1156,159.35,160.45,160.65,158.87,79935,4.674353381115613,7495.771573013051
2022-02-28,209,PG,True,8669154.0,155.5933,156.29,155.89,157.19,153.82,88122,4.811084739239208,8032.7412310190375
2022-03-31,232,PG,True,7538629.0,153.1079,154.1,152.8,154.34,152.4,75671,4.9083769633507845,8623.518892165688
2022-04-30,252,PG,True,10637046.0,161.1597,162.47,160.55,162.95,160.2,102915,4.671441918405481,9810.90286739006
2022-05-31,273,PG,True,12416917.0,147.8175,147.29,147.88,148.9899,146.1606,89113,5.071679740329998,9786.663444594467
2022-06-30,294,PG,True,7410304.0,143.2235,141.69,143.79,144.44,141.23,75189,5.215939912372209,10265.9882113757
2022-07-31,314,PG,True,18694718.0,139.7002,141.43,138.91,142.5,138.23,215955,5.399179324742639,10667.57717812225
2022-08-31,337,PG,True,8406934.0,138.7136,140.4,137.94,140.88,137.86,81054,5.437146585471944,11343.086141747774
2022-09-30,358,PG,True,9431937.0,127.0016,129.0,126.25,129.04,126.21,102915,5.9405940594059405,11131.79371752687
2022-10-31,379,PG,True,8346305.0,134.8336,135.2,134.67,135.67,134.26,85516,5.5691690799732685,12624.207207440344
2022-11-30,400,PG,True,12396381.0,148.3238,145.65,149.16,149.16,145.13,87678,5.02815768302494,14732.525781998975
2022-12-31,421,PG,True,4532157.0,151.4266,152.43,151.56,152.68,150.44,55630,4.948535233570863,15719.573662642562
2023-01-31,441,PG,True,9373412.0,141.7312,141.23,142.38,142.47,140.76,75439,5.267593763168985,15517.437965736659
2023-02-28,460,PG,True,6709913.0,137.7725,138.45,137.56,138.59,137.28,72871,5.452166327420762,15742.125063679834
2023-03-31,483,PG,True,7685942.0,148.3743,147.74,148.69,148.69,147.575,71696,5.044051382070079,17765.82273712238
2023-04-30,502,PG,True,5754704.0,156.4153,156.275,156.38,157.37,155.76,66407,4.796009719913033,19434.641600855455
2023-05-31,1006,PG,True,5775009.0,156.5988,156.64,156.23,157.57,155.43,86361,4.800614478653268,20165.99985485131
