timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-09,5,TSLA,True,70407516.0,224.0625,221.9333,224.1233,230.0,220.0733,582434,0.3346372287040214,75.0
2021-05-16,10,TSLA,True,100101168.0,194.4866,194.47,196.58,197.6233,190.1533,883212,0.3815240614508088,140.78298641863654
2021-05-23,15,TSLA,True,78091785.0,195.8164,198.7033,193.6267,198.8933,193.3333,588051,0.3873432744554341,213.66794728042228
2021-05-30,20,TSLA,True,68061054.0,209.6022,209.5,208.4067,211.8633,207.46,541699,0.3598732670302826,304.977744745362
2021-06-06,24,TSLA,True,71810688.0,197.8972,193.2367,199.6833,200.2033,192.4,564361,0.37559475429342365,367.21211456882884
2021-06-13,29,TSLA,True,48563409.0,202.4848,203.41,203.2967,204.1867,200.5067,379499,0.368918924901388,448.8570581108427
2021-06-20,34,TSLA,True,73666815.0,206.8158,204.4567,207.77,209.45,203.9333,501969,0.36097607931847714,533.7336192062626
2021-06-27,39,TSLA,True,97490121.0,226.262,229.86,223.9567,231.27,222.9,606851,0.3348861632628093,650.3151082278057
2021-07-04,44,TSLA,True,81292122.0,227.9137,226.3267,226.3,233.3333,224.42,558015,0.33141847105612016,732.1194743981869
2021-07-11,48,TSLA,True,53789244.0,217.8973,217.7283,218.9833,219.6367,214.8967,365437,0.34249187038463663,783.4486897833871
2021-07-18,53,TSLA,True,48752910.0,215.6171,218.2267,214.74,218.9,214.0667,334477,0.3492595697122101,843.2675877296787
2021-07-25,58,TSLA,True,43783932.0,214.2329,215.4533,214.46,216.2667,212.4334,344486,0.34971556467406506,917.1680491035992
2021-08-01,63,TSLA,True,88903233.0,228.9831,223.9193,229.0667,232.51,223.0,641107,0.3274155518894715,1054.6356353333927
2021-08-08,68,TSLA,True,46869147.0,234.5705,237.3,233.0333,238.7767,232.5433,410819,0.32184241479651193,1147.8980790282355
2021-08-15,73,TSLA,True,50178801.0,240.0851,241.2367,239.0567,243.3,238.1133,360935,0.3137331018122479,1252.5687281981982
2021-08-22,78,TSLA,True,43925595.0,226.7106,227.6167,226.7533,230.71,224.5667,335421,0.3307559360767848,1263.1034607929603
2021-08-29,83,TSLA,True,41501289.0,236.8642,235.0,237.3067,238.3333,234.0334,318473,0.3160467024319162,1396.8899748729425
2021-09-05,88,TSLA,True,45813135.0,243.123,244.0831,244.5233,244.6667,241.4,356919,0.30671923698068854,1514.3700068006888
2021-09-12,92,TSLA,True,45547110.0,249.9031,253.2,245.4233,254.2033,244.84,381150,0.3055944565980491,1594.943843756597
2021-09-19,97,TSLA,True,84552528.0,252.4875,252.3833,253.1633,253.68,250.0,382955,0.29625147088855297,1720.2441426714759
2021-09-26,102,TSLA,True,63294066.0,254.4216,248.63,258.13,258.2667,248.1867,471400,0.29055127261457403,1828.9928597383116
2021-10-03,107,TSLA,True,51094242.0,257.3814,259.4667,258.4067,260.26,254.53,364463,0.2902401524418678,1905.9534312499127
2021-10-10,112,TSLA,True,51232590.0,262.3753,265.4033,261.83,265.46,260.3033,411141,0.28644540350609177,2006.202971533496
2021-10-17,117,TSLA,True,56773701.0,277.7473,274.5795,281.01,281.07,274.1167,454647,0.2668944165688054,2228.164637477095
2021-10-24,122,TSLA,True,68642505.0,301.435,298.5,303.2267,303.3333,296.9867,577129,0.24733969666919173,2479.323725415024
2021-10-31,127,TSLA,True,89736651.0,365.2683,360.62,371.3333,371.7367,357.735,763646,0.2019748834806897,3111.1952319062098
2021-11-07,132,TSLA,True,64496736.0,409.105,409.3333,407.3633,413.29,402.6667,608329,0.1841108416001147,3488.0705665599576
2021-11-14,137,TSLA,True,76478544.0,344.3532,349.1667,344.4733,351.5,339.7333,776560,0.21772369585683418,3024.571497225642
2021-11-21,142,TSLA,True,64926774.0,372.5221,366.29,379.02,379.5733,364.2333,589438,0.19787873990818428,3402.9011432191196
2021-11-28,146,TSLA,True,34863570.0,364.0457,366.49,360.64,369.5942,360.3333,391912,0.20796362023070097,3312.882613821285
2021-12-05,151,TSLA,True,92321985.0,342.9162,361.5967,338.3233,363.5251,333.4033,1043576,0.2216814508489365,3182.878711237364
2021-12-12,156,TSLA,True,59664366.0,334.891,336.25,339.01,340.3266,327.51,677770,0.22123241202324415,3264.339049059224
2021-12-19,161,TSLA,True,100880262.0,312.1793,304.9233,310.8567,320.22,303.0134,733009,0.2412687260721741,3068.2499468207093
2021-12-26,165,TSLA,True,92643945.0,348.6172,335.6,355.6667,357.6589,332.52,913995,0.210871582861145,3585.5382427365957
2022-01-02,170,TSLA,True,40733625.0,355.7282,357.8148,352.26,360.6666,351.53,381327,0.21291091807187873,3626.1947038797653
2022-01-09,175,TSLA,True,83999748.0,346.423,360.1233,342.32,360.31,336.6667,823560,0.21909324608553402,3598.87148989985
2022-01-16,180,TSLA,True,72916011.0,345.0503,339.96,349.87,350.6667,337.7929,710334,0.2143653356961157,3753.2459925545118
2022-01-23,184,TSLA,True,103236027.0,321.275,332.1133,314.6333,334.85,313.5,1146456,0.23837273422743235,3450.242725438596
2022-01-30,189,TSLA,True,134778870.0,276.797,277.1867,282.1167,285.8333,264.0033,1444816,0.26584743122261106,3168.6683812544397
2022-02-06,194,TSLA,True,73622073.0,304.8534,299.0733,307.7733,312.1667,293.7233,683026,0.2436858557906095,3531.837274448259
2022-02-13,199,TSLA,True,79640919.0,293.1574,303.21,286.6667,305.32,283.5667,950953,0.2616278765548981,3364.6295305768135
2022-02-20,204,TSLA,True,68246841.0,285.3844,295.3333,285.66,295.6233,279.2033,750962,0.26254988447805083,3427.813813758531
2022-02-27,208,TSLA,True,76018263.0,267.3868,269.7433,269.9567,273.1667,260.8002,752019,0.27782233224809755,3314.380051028032
2022-03-06,213,TSLA,True,67165461.0,279.8899,283.0333,279.43,285.2167,275.0536,598767,0.26840353576924453,3505.68802388962
2022-03-13,218,TSLA,True,67037166.0,269.639,280.0657,265.1167,281.2673,264.59,749473,0.2828942876853854,3401.1154497481916
2022-03-20,223,TSLA,True,100378191.0,298.7398,291.4967,301.7967,302.6167,289.13,701623,0.2485116636464216,3946.6739422790797
2022-03-27,228,TSLA,True,61968846.0,335.8521,336.0,336.88,340.6,332.44,592400,0.2226312039895512,4480.467381435836
2022-04-03,233,TSLA,True,54263223.0,360.4691,360.3833,361.53,364.9167,355.5467,549089,0.2074516637623434,4883.309702002189
2022-04-10,238,TSLA,True,54777669.0,344.8107,347.7367,341.83,349.48,340.8117,582320,0.21940730772606268,4692.215045599005
2022-04-17,242,TSLA,True,58413105.0,330.57,333.0967,328.3333,337.57,327.3967,580182,0.2284264191295857,4581.949215198116
2022-04-24,247,TSLA,True,69680658.0,337.9642,338.3033,335.0167,344.95,331.3334,691866,0.22386943695642633,4750.217243097982
2022-05-01,252,TSLA,True,88124595.0,300.3742,300.75,290.2533,311.4666,290.0,892714,0.25839499499230495,4190.514929632139
2022-05-08,257,TSLA,True,72895911.0,289.3578,295.6667,288.55,296.0,281.035,790390,0.259920291110726,4240.923636166595
2022-05-15,262,TSLA,True,92000724.0,256.5688,257.8267,256.53,262.45,250.5217,864581,0.29236346626125603,3845.3141236729043
2022-05-22,267,TSLA,True,144926805.0,221.1671,237.9967,221.3,240.5273,211.0,1688029,0.3389064618165386,3392.226116122145
2022-05-29,272,TSLA,True,89296227.0,249.216,241.0833,253.21,253.2667,240.177,780166,0.29619683266853597,3956.3627422651975
2022-06-05,276,TSLA,True,112393737.0,238.4253,243.225,234.5167,247.7966,233.4178,1099909,0.31980664916400414,3739.2831417360476
2022-06-12,281,TSLA,True,98060898.0,232.6588,235.1567,232.23,239.5,227.9133,974758,0.32295569047926626,3777.8225452829683
2022-06-19,286,TSLA,True,92138970.0,216.8353,213.4333,216.76,220.9694,213.1967,673263,0.346004797933198,3601.1629200169496
2022-06-26,290,TSLA,True,94900695.0,243.4815,237.4683,245.7067,246.0667,236.0867,684994,0.3052419815983854,4157.071679459904
2022-07-03,295,TSLA,True,74460444.0,225.5937,227.0,227.2633,230.23,222.12,624916,0.3300136889678184,3920.0307957031687
2022-07-10,299,TSLA,True,101854086.0,250.1468,242.3333,250.7633,254.98,241.1614,825388,0.2990868280964559,4400.378793813838
2022-07-17,304,TSLA,True,69678159.0,239.6746,240.0,240.0667,243.6233,236.89,519685,0.3124131751717335,4287.675522219035
2022-07-24,309,TSLA,True,103462317.0,275.2133,276.22,272.2433,280.7867,270.7133,908548,0.27548887337172306,4937.3608917777165
2022-07-31,314,TSLA,True,95312883.0,289.7726,280.7,297.15,298.32,279.1,783953,0.2523977788995457,5464.064814420588
2022-08-07,319,TSLA,True,113154780.0,294.417,302.67,288.17,304.6066,285.5447,1123821,0.2602630391782628,5373.938440422618
2022-08-14,324,TSLA,True,79657287.0,293.8519,289.415,300.03,300.16,285.0333,676771,0.24997500249975005,5670.1096584654815
2022-08-21,329,TSLA,True,61395387.0,295.689,299.0,296.6667,300.36,292.5,589024,0.2528089603585438,5681.54841520875
2022-08-28,334,TSLA,True,57111447.0,292.6271,297.43,288.09,302.0,287.47,984029,0.26033531188170367,5592.29359222821
2022-09-04,339,TSLA,True,50890090.0,274.5814,281.065,270.21,282.35,269.08,760296,0.2775618963028756,5320.2138274705285
2022-09-11,343,TSLA,True,54470854.0,297.338,291.67,299.68,299.85,291.245,781284,0.2502669514148425,5975.454016566257
2022-09-18,348,TSLA,True,87034286.0,300.6219,299.605,303.35,303.71,295.6005,757863,0.24723916268336904,6123.631793664489
2022-09-25,353,TSLA,True,63702162.0,276.65,283.09,275.33,284.5,272.82,1057060,0.27240039225656487,5633.000796933059
2022-10-02,358,TSLA,True,67684990.0,269.0121,266.145,265.25,275.57,262.47,927855,0.2827521206409048,5501.773186309134
2022-10-09,363,TSLA,True,83916800.0,226.4628,233.935,223.07,234.5715,222.02,1245277,0.3362173308826826,4701.882355023482
2022-10-16,368,TSLA,True,93934561.0,211.6407,224.01,204.99,226.26,204.16,1283326,0.36587150592711837,4395.791069871626
2022-10-23,373,TSLA,True,75513754.0,210.2686,206.415,214.44,214.66,203.8,903060,0.3497481813094572,4673.4362018794645
2022-10-30,378,TSLA,True,69152386.0,224.182,225.4,228.52,228.86,216.35,794354,0.3281988447400665,5055.291180999325
2022-11-06,383,TSLA,True,98618712.0,211.1258,222.6,207.47,223.8,203.08,1202728,0.3614980479105413,4664.625684062357
2022-11-13,388,TSLA,True,114378775.0,191.468,186.0,195.97,196.52,182.59,1168919,0.38271163953666376,4481.06687861233
2022-11-20,393,TSLA,True,76048866.0,179.1596,185.05,180.19,185.19,176.55,944090,0.41622731561129916,4195.24004111423
2022-11-27,397,TSLA,True,50672739.0,182.9317,185.06,182.86,185.2,180.63,584237,0.41014984140872796,4332.403817737656
2022-12-04,402,TSLA,True,73645922.0,193.446,191.78,194.86,196.25,191.11,833601,0.38489171713024734,4691.713375939842
2022-12-11,407,TSLA,True,104872336.0,179.496,173.84,179.05,182.5,173.36,1092808,0.4188774085450991,4386.050394960633
