timestamp,id,ticker,adjusted,volume,wap_volume,open_price,close_price,high_price,low_price,transactions,stock_purchase_amount,cumulative total
2021-05-31,20,V,True,5912076.0,227.7768,227.59,227.3,229.43,227.148,84462,3.2996040475142983,750.0
2021-06-30,42,V,True,7916435.0,234.3984,235.11,233.82,236.4,233.82,93419,3.2075955863484733,1521.5134183897933
2021-07-31,63,V,True,5804738.0,246.6291,247.21,246.39,248.46,246.0,74110,3.0439547059539755,2353.308917787448
2021-08-31,85,V,True,9405086.0,229.8435,230.91,229.1,231.84,228.66,127236,3.2736796158882586,2938.169459252017
2021-09-30,106,V,True,7223011.0,224.4291,227.58,222.75,228.7855,222.63,118896,3.367003367003367,3606.73176363329
2021-10-31,127,V,True,14329821.0,211.9338,209.21,211.77,213.665,208.54,179674,3.5415781272134863,4178.945389829953
2021-11-30,148,V,True,16022982.0,194.091,195.27,193.77,197.66,192.56,194666,3.8705681994116734,4573.74391173136
2021-12-31,170,V,True,4723347.0,217.009,216.81,216.71,217.98,215.49,75027,3.4608462922800056,5865.219296647071
2022-01-31,190,V,True,12380639.0,224.8177,225.55,226.17,226.38,222.05,169393,3.3160896670645976,6871.2525878947345
2022-02-28,209,V,True,8409382.0,215.8822,216.0,216.12,218.65,213.24,121660,3.470294280955025,7315.92434582752
2022-03-31,232,V,True,10759520.0,222.7611,223.91,221.77,225.92,220.44,145840,3.3818821301348243,8257.183704303949
2022-04-30,252,V,True,7964954.0,215.3914,218.62,213.13,221.2008,212.35,128022,3.518979026885,8685.489754693152
2022-05-31,273,V,True,9586408.0,212.2884,210.38,212.17,214.35,209.11,94599,3.5349012584248483,9396.367762648364
2022-06-30,294,V,True,7045200.0,196.4112,195.37,196.89,198.85,192.85,88915,3.809233582203261,9469.662764706774
2022-07-31,314,V,True,6059699.0,211.7106,212.0,212.11,214.16,209.83,83848,3.5359011833482623,10951.687079191195
2022-08-31,337,V,True,6559042.0,199.8052,201.0,198.71,203.165,198.64,84116,3.774344522167983,11009.816790844761
2022-09-30,358,V,True,9472265.0,179.4801,180.06,177.65,182.92,177.595,124546,4.221784407542922,10592.95683606045
2022-10-31,379,V,True,8674102.0,207.3366,208.92,207.16,209.62,206.2,114719,3.620390036686619,13102.586198470492
2022-11-30,400,V,True,13918125.0,215.214,208.22,217.0,217.0,208.01,110568,3.456221198156682,14474.952718034834
2022-12-31,421,V,True,4159463.0,207.2028,206.31,207.76,208.04,205.7,63674,3.6099345398536773,14608.599892621738
2023-01-31,441,V,True,11294209.0,229.811,228.81,230.21,230.8,228.445,94368,3.2578949654663134,16937.166833271323
2023-02-28,460,V,True,5385356.0,220.3563,220.0,219.94,221.7731,219.5,76222,3.410020914794944,16931.57540206635
2023-03-31,483,V,True,9508978.0,224.864,223.6,225.46,225.84,223.29,94723,3.326532422602679,18106.5199152036
2023-04-30,502,V,True,11627877.0,232.5606,228.65,232.73,233.5727,228.06,92048,3.2226184849396295,19440.36804694994
2023-05-31,1006,V,True,4093320.0,227.1257,226.98,225.98,228.67,225.92,74309,3.3188777767944067,19626.528042150767
